net,length_um
_0247_,8.36µm
_1352_,8.36µm
_1373_,8.36µm
net72,8.36µm
net198,8.36µm
net206,8.33µm
_0423_,8.28µm
_1332_,8.24µm
net236,8.22µm
_0169_,8.21µm
_1394_,8.2µm
my_sum_sub.result\[6\],8.14µm
_1217_,8.12µm
my_sum_sub.result\[3\],8.12µm
_0060_,8.11µm
_0588_,8.1µm
_0950_,8.1µm
net303,8.1µm
_1349_,8.08µm
_0355_,8.06µm
_0599_,8.04µm
_0684_,8.04µm
_1022_,8.04µm
_1080_,8.04µm
_1102_,8.04µm
_1288_,8.04µm
_1188_,8.02µm
_1282_,8.02µm
net142,8.02µm
_0766_,8µm
_1450_,8µm
_1291_,7.99µm
_0269_,7.98µm
_0902_,7.98µm
_1443_,7.92µm
_1407_,7.9µm
net122,7.9µm
net241,7.9µm
_1335_,7.88µm
_1376_,7.88µm
net87,7.86µm
_0167_,7.83µm
_0422_,7.83µm
_0014_,7.82µm
net306,7.8µm
_1214_,7.78µm
_1276_,7.78µm
_0934_,7.76µm
_0629_,7.74µm
_1124_,7.74µm
_1154_,7.74µm
_1212_,7.74µm
_0143_,7.71µm
_0756_,7.7µm
_0812_,7.7µm
_0897_,7.7µm
_0183_,7.69µm
_0318_,7.68µm
_0380_,7.66µm
_1458_,7.66µm
_0314_,7.64µm
_0385_,7.64µm
_0729_,7.64µm
_0768_,7.64µm
_1128_,7.64µm
_1293_,7.64µm
shift_in\[5\],7.64µm
_0280_,7.62µm
_0505_,7.6µm
_0683_,7.6µm
_0005_,7.58µm
_1289_,7.58µm
_0392_,7.56µm
_1239_,7.56µm
_1413_,7.56µm
_1433_,7.56µm
_1199_,7.54µm
_1263_,7.52µm
_1344_,7.52µm
net302,7.52µm
_1133_,7.5µm
_0957_,7.48µm
_0405_,7.46µm
_1016_,7.46µm
_1216_,7.46µm
_0724_,7.45µm
net131,7.44µm
_1331_,7.42µm
_0700_,7.41µm
_0698_,7.4µm
_1026_,7.38µm
_1264_,7.36µm
net260,7.36µm
_0400_,7.35µm
sclk,7.35µm
_1358_,7.28µm
_0145_,7.27µm
_0344_,7.26µm
_0421_,7.26µm
_0273_,7.24µm
_0417_,7.24µm
_0520_,7.24µm
my_sum_sub.al_ma\[3\],7.24µm
_0267_,7.22µm
_1077_,7.22µm
net59,7.22µm
net315,7.22µm
_1190_,7.2µm
_0246_,7.18µm
_0253_,7.18µm
_0261_,7.18µm
_0316_,7.18µm
_0324_,7.18µm
_0502_,7.18µm
_0984_,7.18µm
_1014_,7.18µm
_1179_,7.18µm
_1405_,7.18µm
rst,7.15µm
_0362_,7.14µm
shift_in\[4\],7.14µm
_1228_,7.12µm
_0587_,7.1µm
_0922_,7.1µm
_1283_,7.1µm
net93,7.1µm
net310,7.1µm
