Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_60_280,VPWR,li1,135.0100,176.8000,1.800000
FILLER_60_277,VPWR,li1,133.6300,176.8000,1.800000
FILLER_60_274,VPWR,li1,132.2500,176.8000,1.800000
FILLER_60_271,VPWR,li1,130.8700,176.8000,1.800000
FILLER_60_268,VPWR,li1,129.4900,176.8000,1.800000
FILLER_60_265,VPWR,li1,128.1100,176.8000,1.800000
FILLER_60_262,VPWR,li1,126.7300,176.8000,1.800000
FILLER_60_259,VPWR,li1,125.3500,176.8000,1.800000
FILLER_60_256,VPWR,li1,123.9700,176.8000,1.800000
FILLER_60_253,VPWR,li1,122.5900,176.8000,1.800000
FILLER_60_251,VPWR,li1,121.2100,176.8000,1.800000
FILLER_60_248,VPWR,li1,120.2900,176.8000,1.800000
FILLER_60_223,VPWR,li1,108.3300,176.8000,1.800000
FILLER_60_220,VPWR,li1,107.4100,176.8000,1.800000
FILLER_60_212,VPWR,li1,103.5000,176.8000,1.800000
FILLER_60_203,VPWR,li1,99.3600,176.8000,1.800000
FILLER_60_197,VPWR,li1,96.8300,176.8000,1.800000
FILLER_60_195,VPWR,li1,95.4500,176.8000,1.800000
FILLER_60_192,VPWR,li1,94.5300,176.8000,1.800000
FILLER_60_183,VPWR,li1,89.9300,176.8000,1.800000
FILLER_60_180,VPWR,li1,89.0100,176.8000,1.800000
FILLER_60_177,VPWR,li1,87.6300,176.8000,1.800000
FILLER_60_159,VPWR,li1,78.8900,176.8000,1.800000
FILLER_60_156,VPWR,li1,77.9700,176.8000,1.800000
FILLER_60_141,VPWR,li1,71.0700,176.8000,1.800000
FILLER_60_137,VPWR,li1,69.2300,176.8000,1.800000
FILLER_60_134,VPWR,li1,67.8500,176.8000,1.800000
FILLER_60_124,VPWR,li1,62.7900,176.8000,1.800000
FILLER_60_121,VPWR,li1,61.8700,176.8000,1.800000
FILLER_60_118,VPWR,li1,60.4900,176.8000,1.800000
FILLER_60_90,VPWR,li1,47.1500,176.8000,1.800000
FILLER_60_79,VPWR,li1,42.0900,176.8000,1.800000
FILLER_60_64,VPWR,li1,35.1900,176.8000,1.800000
FILLER_60_61,VPWR,li1,34.2700,176.8000,1.800000
FILLER_60_58,VPWR,li1,32.8900,176.8000,1.800000
FILLER_60_55,VPWR,li1,31.5100,176.8000,1.800000
FILLER_60_52,VPWR,li1,30.1300,176.8000,1.800000
FILLER_60_48,VPWR,li1,27.8300,176.8000,1.800000
FILLER_60_45,VPWR,li1,26.9100,176.8000,1.800000
FILLER_60_21,VPWR,li1,15.6400,176.8000,1.800000
FILLER_60_18,VPWR,li1,14.4900,176.8000,1.800000
FILLER_60_15,VPWR,li1,13.1100,176.8000,1.800000
FILLER_60_12,VPWR,li1,11.7300,176.8000,1.800000
FILLER_60_9,VPWR,li1,10.3500,176.8000,1.800000
FILLER_60_6,VPWR,li1,8.9700,176.8000,1.800000
FILLER_60_3,VPWR,li1,7.5900,176.8000,1.800000
FILLER_59_367,VPWR,li1,175.0300,171.3600,1.800000
FILLER_59_364,VPWR,li1,173.6500,171.3600,1.800000
FILLER_59_361,VPWR,li1,172.2700,171.3600,1.800000
FILLER_59_358,VPWR,li1,170.8900,171.3600,1.800000
FILLER_59_355,VPWR,li1,169.5100,171.3600,1.800000
FILLER_59_352,VPWR,li1,168.1300,171.3600,1.800000
FILLER_59_349,VPWR,li1,166.7500,171.3600,1.800000
FILLER_59_346,VPWR,li1,165.3700,171.3600,1.800000
FILLER_59_343,VPWR,li1,163.9900,171.3600,1.800000
FILLER_59_340,VPWR,li1,162.6100,171.3600,1.800000
FILLER_59_337,VPWR,li1,161.2300,171.3600,1.800000
FILLER_59_335,VPWR,li1,159.8500,171.3600,1.800000
FILLER_59_332,VPWR,li1,158.9300,171.3600,1.800000
FILLER_59_329,VPWR,li1,157.5500,171.3600,1.800000
FILLER_59_326,VPWR,li1,156.1700,171.3600,1.800000
FILLER_59_323,VPWR,li1,154.7900,171.3600,1.800000
FILLER_59_320,VPWR,li1,153.4100,171.3600,1.800000
FILLER_59_317,VPWR,li1,152.0300,171.3600,1.800000
FILLER_59_314,VPWR,li1,150.6500,171.3600,1.800000
FILLER_59_311,VPWR,li1,149.2700,171.3600,1.800000
FILLER_59_308,VPWR,li1,147.8900,171.3600,1.800000
FILLER_59_305,VPWR,li1,146.5100,171.3600,1.800000
FILLER_59_302,VPWR,li1,145.1300,171.3600,1.800000
FILLER_59_299,VPWR,li1,143.7500,171.3600,1.800000
FILLER_59_296,VPWR,li1,142.3700,171.3600,1.800000
FILLER_59_293,VPWR,li1,140.9900,171.3600,1.800000
FILLER_59_290,VPWR,li1,139.6100,171.3600,1.800000
FILLER_59_287,VPWR,li1,138.2300,171.3600,1.800000
FILLER_59_284,VPWR,li1,136.8500,171.3600,1.800000
FILLER_59_281,VPWR,li1,135.4700,171.3600,1.800000
FILLER_59_278,VPWR,li1,133.8600,171.3600,1.800000
FILLER_59_275,VPWR,li1,132.7100,171.3600,1.800000
FILLER_59_272,VPWR,li1,131.3300,171.3600,1.800000
FILLER_59_269,VPWR,li1,129.9500,171.3600,1.800000
FILLER_59_266,VPWR,li1,128.5700,171.3600,1.800000
FILLER_59_263,VPWR,li1,127.1900,171.3600,1.800000
FILLER_59_260,VPWR,li1,125.8100,171.3600,1.800000
FILLER_59_257,VPWR,li1,124.4300,171.3600,1.800000
FILLER_59_254,VPWR,li1,123.0500,171.3600,1.800000
FILLER_59_251,VPWR,li1,121.6700,171.3600,1.800000
FILLER_59_248,VPWR,li1,120.2900,171.3600,1.800000
FILLER_59_245,VPWR,li1,118.9100,171.3600,1.800000
FILLER_59_242,VPWR,li1,117.5300,171.3600,1.800000
FILLER_59_236,VPWR,li1,114.7700,171.3600,1.800000
FILLER_59_233,VPWR,li1,113.3900,171.3600,1.800000
FILLER_59_230,VPWR,li1,112.0100,171.3600,1.800000
FILLER_59_225,VPWR,li1,109.4800,171.3600,1.800000
FILLER_59_221,VPWR,li1,107.8700,171.3600,1.800000
FILLER_59_218,VPWR,li1,106.4900,171.3600,1.800000
FILLER_59_215,VPWR,li1,105.1100,171.3600,1.800000
FILLER_59_212,VPWR,li1,103.7300,171.3600,1.800000
FILLER_59_209,VPWR,li1,102.3500,171.3600,1.800000
FILLER_59_199,VPWR,li1,97.7500,171.3600,1.800000
FILLER_59_196,VPWR,li1,96.3700,171.3600,1.800000
FILLER_59_193,VPWR,li1,94.9900,171.3600,1.800000
FILLER_59_190,VPWR,li1,93.6100,171.3600,1.800000
FILLER_59_187,VPWR,li1,92.2300,171.3600,1.800000
FILLER_59_184,VPWR,li1,90.8500,171.3600,1.800000
FILLER_59_181,VPWR,li1,89.4700,171.3600,1.800000
FILLER_59_178,VPWR,li1,88.0900,171.3600,1.800000
FILLER_59_175,VPWR,li1,86.7100,171.3600,1.800000
FILLER_59_172,VPWR,li1,85.3300,171.3600,1.800000
FILLER_59_169,VPWR,li1,83.9500,171.3600,1.800000
FILLER_59_166,VPWR,li1,82.3400,171.3600,1.800000
FILLER_59_163,VPWR,li1,81.1900,171.3600,1.800000
FILLER_59_160,VPWR,li1,79.8100,171.3600,1.800000
FILLER_59_157,VPWR,li1,78.4300,171.3600,1.800000
FILLER_59_154,VPWR,li1,77.0500,171.3600,1.800000
FILLER_59_151,VPWR,li1,75.6700,171.3600,1.800000
FILLER_59_143,VPWR,li1,71.9900,171.3600,1.800000
FILLER_59_140,VPWR,li1,70.6100,171.3600,1.800000
FILLER_59_137,VPWR,li1,69.2300,171.3600,1.800000
FILLER_59_126,VPWR,li1,63.7100,171.3600,1.800000
FILLER_59_123,VPWR,li1,62.7900,171.3600,1.800000
FILLER_59_120,VPWR,li1,61.4100,171.3600,1.800000
FILLER_59_100,VPWR,li1,51.9800,171.3600,1.800000
FILLER_59_97,VPWR,li1,50.8300,171.3600,1.800000
FILLER_59_87,VPWR,li1,46.0000,171.3600,1.800000
FILLER_59_84,VPWR,li1,44.8500,171.3600,1.800000
FILLER_59_81,VPWR,li1,43.4700,171.3600,1.800000
FILLER_59_78,VPWR,li1,42.0900,171.3600,1.800000
FILLER_59_75,VPWR,li1,40.7100,171.3600,1.800000
FILLER_59_69,VPWR,li1,37.4900,171.3600,1.800000
FILLER_59_66,VPWR,li1,36.5700,171.3600,1.800000
FILLER_59_63,VPWR,li1,35.1900,171.3600,1.800000
FILLER_59_60,VPWR,li1,33.8100,171.3600,1.800000
